Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"AD-permissions","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/AD-permissions","Active Directory permissions (ACL/ACE) auditing tools",false,"2012-07-04T09:18:18Z","2018-10-27T04:11:15Z",,102,17,"Other",0,"PHP"
"xsvgen","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/xsvgen","XML Schema Validator Generator",false,"2013-05-21T12:36:23Z","2018-07-03T07:47:53Z",,10,1,"Other",1,"OCaml"
"SysvolExplorer","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/SysvolExplorer","Active Directory Group Policy analyzer",false,"2014-04-10T13:11:12Z","2018-10-08T03:31:45Z",,45,12,,0,"C++"
"AD-control-paths","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/AD-control-paths","Active Directory Control Paths auditing and graphing tools",false,"2014-07-07T15:26:43Z","2018-10-30T00:04:13Z","https://www.sstic.org/2014/presentation/chemins_de_controle_active_directory/",292,55,"Other",2,"C"
"picon","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/picon","Picon",false,"2015-05-27T07:56:02Z","2018-07-03T12:31:02Z",,29,4,"GNU Lesser General Public License v2.1",0,"C"
"tabi","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/tabi","BGP Hijack Detection",false,"2016-02-04T15:27:01Z","2018-07-17T08:15:24Z",,66,23,"Other",3,"Python"
"mabo","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/mabo","MRT Parser",false,"2016-02-04T15:27:23Z","2018-07-17T08:15:45Z",,39,5,"Other",1,"OCaml"
"OVALI","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/OVALI","Generic graph exploration, manipulation and visualization tool (Outil de Visualisation et Analyse de Liens Inter-objets)",false,"2016-03-01T15:59:21Z","2018-10-14T20:24:14Z",,21,16,"BSD 3-Clause ""New"" or ""Revised"" License",2,"JavaScript"
"polichombr","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/polichombr","Collaborative malware analysis framework",false,"2016-05-31T18:54:28Z","2018-10-29T00:22:52Z",,232,45,"Other",18,"Python"
"nogaxeh","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/nogaxeh","Tools for analyzing hexagon code",false,"2016-06-22T15:11:30Z","2018-04-20T01:37:53Z","",29,6,"GNU General Public License v3.0",1,"C++"
"bmc-tools","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/bmc-tools","RDP Bitmap Cache parser",false,"2016-06-27T11:32:35Z","2018-10-09T04:30:16Z","",70,10,"Other",2,"Python"
"ADCP-libdev","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/ADCP-libdev","AD-control-paths libraries submodule",false,"2016-08-26T14:55:46Z","2018-09-26T23:03:05Z","",0,1,"Other",0,"C"
