Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"toolbox","https://github.com/MTES-MCT","https://github.com/MTES-MCT/toolbox","boite à outils ",false,"2016-09-20T21:04:15Z","2018-01-04T12:42:43Z",,1,0,,0,"R"
"trashadvisor","https://github.com/MTES-MCT","https://github.com/MTES-MCT/trashadvisor",,false,"2016-09-28T16:07:27Z","2016-09-28T16:10:43Z",,0,1,,2,"PHP"
"invasivalerte","https://github.com/MTES-MCT","https://github.com/MTES-MCT/invasivalerte","Détectons les espèces envahissantes ensemble !",false,"2016-11-22T09:54:38Z","2016-11-22T10:00:56Z","http://www.invasivalerte.fr",0,0,,0,
"dataroom","https://github.com/MTES-MCT","https://github.com/MTES-MCT/dataroom","Inventaire des données détenues par le MTES & MCT",false,"2017-03-23T23:19:25Z","2018-07-02T12:17:00Z","https://mtes-mct.github.io/dataroom/",5,2,,0,"JavaScript"
"udata-doc","https://github.com/MTES-MCT","https://github.com/MTES-MCT/udata-doc","Documentation d'installation et paramétrage de udata au MTES",false,"2017-04-25T12:18:33Z","2018-10-19T14:50:47Z","",3,0,,0,"SAS"
"udata-gouvfr-ecologie","https://github.com/MTES-MCT","https://github.com/MTES-MCT/udata-gouvfr-ecologie","Skin and customization for the French opendata portal based on uData.",true,"2017-04-29T19:59:17Z","2017-04-29T19:59:51Z","https://www.data.gouv.fr/fr/",0,0,,0,"HTML"
"numerique","https://github.com/MTES-MCT","https://github.com/MTES-MCT/numerique",,false,"2018-01-23T13:16:45Z","2018-08-02T15:43:33Z","https://mtes-mct.github.io/numerique/",9,8,,4,"CSS"
"adock-api","https://github.com/MTES-MCT","https://github.com/MTES-MCT/adock-api","API of A Dock",false,"2018-02-27T17:35:55Z","2018-11-14T14:25:38Z","https://adock.beta.gouv.fr",2,0,"GNU Affero General Public License v3.0",0,"Python"
"geostatis","https://github.com/MTES-MCT","https://github.com/MTES-MCT/geostatis","Outil de construction de cartes pour des données statistiques",false,"2018-02-28T13:00:40Z","2018-05-26T12:41:31Z","https://mtes-mct.github.io/geostatis/",2,2,,0,"JavaScript"
"locatio","https://github.com/MTES-MCT","https://github.com/MTES-MCT/locatio",,false,"2018-02-28T21:36:35Z","2018-06-13T10:00:58Z",,0,1,,0,"HTML"
"adock-ui","https://github.com/MTES-MCT","https://github.com/MTES-MCT/adock-ui","User interface of A Dock",false,"2018-03-01T17:34:59Z","2018-11-14T09:53:04Z","https://adock.beta.gouv.fr",3,0,"GNU Affero General Public License v3.0",0,"Vue"
"adock-ansible","https://github.com/MTES-MCT","https://github.com/MTES-MCT/adock-ansible","Déploiement d'un serveur dédié pour A Dock",false,"2018-03-05T13:45:16Z","2018-10-18T03:22:56Z",,1,0,,0,"Shell"
