Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"rosm","https://github.com/communaute-cimi","https://github.com/communaute-cimi/rosm",,false,"2014-08-06T17:50:56Z","2015-10-02T15:25:04Z",,1,0,,0,"Go"
"geocodeComp","https://github.com/communaute-cimi","https://github.com/communaute-cimi/geocodeComp","Geocode comparing tool",false,"2014-08-21T15:27:50Z","2015-11-26T02:59:33Z",,3,4,,0,"JavaScript"
"qgis-minint","https://github.com/communaute-cimi","https://github.com/communaute-cimi/qgis-minint","Paramétrages et plugins spécifiques pour l'usage de QGIS au MININT",false,"2015-03-14T12:34:31Z","2015-03-14T12:34:31Z",,0,1,,0,
"devstack-vagrant","https://github.com/communaute-cimi","https://github.com/communaute-cimi/devstack-vagrant","Vagrant scripts to build local devstack environments",true,"2015-07-15T12:57:32Z","2015-07-15T12:57:32Z","http://openstack.org",0,0,"Apache License 2.0",0,"Puppet"
"georef-api","https://github.com/communaute-cimi","https://github.com/communaute-cimi/georef-api",,false,"2015-07-27T19:54:06Z","2016-03-21T17:46:45Z",,1,2,,0,"PHP"
"georef-client","https://github.com/communaute-cimi","https://github.com/communaute-cimi/georef-client","Affichage de données géographiques de référence surfacique ou ponctuelle",false,"2015-07-27T19:56:02Z","2015-08-04T12:37:11Z",,0,1,,0,"JavaScript"
"mnt_france_srtm_90","https://github.com/communaute-cimi","https://github.com/communaute-cimi/mnt_france_srtm_90","Modèle numérique de terrain (SRTM 90) sur la france (DOM et COM)",true,"2015-10-13T22:21:25Z","2015-10-13T21:06:47Z",,0,0,,0,
"qgis-minint-plugin-geocoding","https://github.com/communaute-cimi","https://github.com/communaute-cimi/qgis-minint-plugin-geocoding","Plugin QGIS pour le géocodage sur le réseau du MININT",false,"2015-10-27T20:49:17Z","2015-10-27T21:10:51Z",,0,0,,0,"Python"
"mapproxy-osm-cache-sample","https://github.com/communaute-cimi","https://github.com/communaute-cimi/mapproxy-osm-cache-sample","Exemple de proxy/cache OSM avec mapproxy",false,"2015-12-06T22:06:12Z","2016-12-22T10:23:19Z",,1,0,"GNU General Public License v2.0",0,"CSS"
"qgis-csv-color-map","https://github.com/communaute-cimi","https://github.com/communaute-cimi/qgis-csv-color-map","Colorer une carte avec des données CSV dans QGIS",false,"2015-12-27T17:43:39Z","2016-03-21T17:45:04Z",,2,0,,0,
"nm-geoalerte-back","https://github.com/communaute-cimi","https://github.com/communaute-cimi/nm-geoalerte-back","Projet geo alerte : back-office / API",false,"2016-01-16T09:03:54Z","2016-01-17T10:29:50Z",,1,2,,0,"JavaScript"
"nm-geoalerte-docs","https://github.com/communaute-cimi","https://github.com/communaute-cimi/nm-geoalerte-docs","Hackathon Nec Mergitur - projet Géo Alerte - Documents",false,"2016-01-16T09:51:56Z","2016-01-16T10:55:17Z",,1,0,,0,
"nm-geoalerte-front","https://github.com/communaute-cimi","https://github.com/communaute-cimi/nm-geoalerte-front","Hackathon Nec Mergitur - projet Géo Alerte - Front office",false,"2016-01-16T09:55:35Z","2016-01-16T16:04:00Z",,1,0,,0,"JavaScript"
"nm-geoalerte-mob","https://github.com/communaute-cimi","https://github.com/communaute-cimi/nm-geoalerte-mob","Hackathon Nec Mergitur - projet Géo Alerte - Application Mobile",false,"2016-01-16T12:58:20Z","2016-01-16T13:16:16Z",,1,0,,0,"JavaScript"
"gpx-rev-geocode","https://github.com/communaute-cimi","https://github.com/communaute-cimi/gpx-rev-geocode","Géocodage inversé sur les points d'un GPX (avec la BAN)",false,"2016-01-31T16:42:48Z","2016-01-31T16:48:26Z",,0,0,"Do What The F*ck You Want To Public License",0,"PHP"
"miditech14-qgis","https://github.com/communaute-cimi","https://github.com/communaute-cimi/miditech14-qgis","Miditech 14 - QGIS - Présentation et cas d'usage",false,"2016-03-08T21:48:17Z","2016-03-08T22:18:47Z",,0,0,"NOASSERTION",0,"HTML"
"PFLAU-Viz","https://github.com/communaute-cimi","https://github.com/communaute-cimi/PFLAU-Viz","Visualisation des données issues de la PFLAU",false,"2016-05-15T06:23:22Z","2017-03-12T20:36:23Z",,1,0,"NOASSERTION",1,"JavaScript"
"scrap-jo-innondations-juin-2016","https://github.com/communaute-cimi","https://github.com/communaute-cimi/scrap-jo-innondations-juin-2016","Constituer un fichier des communes classées en état de catastrophe naturelles (inondations juin 2016)",false,"2016-06-12T13:25:30Z","2016-06-12T13:30:58Z",,0,0,"NOASSERTION",0,"HTML"
"geocoder-comparison-tool","https://github.com/communaute-cimi","https://github.com/communaute-cimi/geocoder-comparison-tool","Outil léger pour la comparaison de différents géocodeurs",false,"2016-07-11T20:39:58Z","2016-07-11T22:08:59Z",,0,0,,0,"JavaScript"
"leaflet-reverse-geocode-sample","https://github.com/communaute-cimi","https://github.com/communaute-cimi/leaflet-reverse-geocode-sample","Exemple de géocodage inverse avec leaflet et le géocodeur etalab",false,"2017-03-09T22:20:48Z","2017-03-09T22:26:21Z",,0,0,"The Unlicense",0,"PHP"
