Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"rgaa","https://github.com/DISIC","https://github.com/DISIC/rgaa","Ancien dépôt du RGAA 3.0",false,"2015-06-02T08:55:44Z","2017-09-18T15:57:01Z","",37,16,,15,
"rgaa_bibliotheques_javascript","https://github.com/DISIC","https://github.com/DISIC/rgaa_bibliotheques_javascript","Une étude de l'accessibilité des principales bibliothèques JavaScript a donné lieu à deux types de ressources : un état des lieux du niveau d'accessibilité des différents composants actuels et une correction des composants accompagné d'un tutoriel expliquant comment corriger.",false,"2015-06-16T18:58:34Z","2017-08-28T19:46:33Z","",21,6,"Other",4,"HTML"
"rgaa_composants_javascript","https://github.com/DISIC","https://github.com/DISIC/rgaa_composants_javascript","Cette plateforme de tests présente les implémentations des composants ARIA telles qu'elles sont définies par les motifs de conception.",false,"2015-06-16T19:16:06Z","2017-08-28T19:48:41Z","",16,1,"Other",7,"HTML"
"rgaa_methodologie","https://github.com/DISIC","https://github.com/DISIC/rgaa_methodologie","Méthodologie de tests pour la version 3 du RGAA",false,"2015-09-15T11:43:19Z","2018-01-17T15:53:53Z","http://disic.github.io/rgaa_methodologie/index.html",14,5,"Other",2,"HTML"
"referentiel-mobile-tactile","https://github.com/DISIC","https://github.com/DISIC/referentiel-mobile-tactile","Ce référentiel capitalise sur les travaux actuellement menés dans le cadre de WCAG qui ne propose pas encore de critères ou de techniques spécifiques aux situations de consultation sur les plateformes mobiles/tactiles. English version available: https://github.com/DISIC/referentiel-mobile-tactile/tree/en",false,"2015-10-14T11:02:05Z","2018-01-04T21:40:16Z","",14,1,"Other",1,
"rgaa_modeles_documents","https://github.com/DISIC","https://github.com/DISIC/rgaa_modeles_documents","Modèles de documents dans le cadre du RGAA",false,"2015-10-15T09:28:09Z","2018-11-12T08:15:22Z",,9,2,"Other",1,"HTML"
"guide-contribuer_accessible","https://github.com/DISIC","https://github.com/DISIC/guide-contribuer_accessible","Guide ""Contribuer sur le Web de manière accessible""",false,"2015-11-27T12:37:38Z","2018-03-07T10:09:28Z","http://disic.github.io/guide-contribuer_accessible/",25,8,"Other",0,"HTML"
"guide-mobile_app_dev_natif","https://github.com/DISIC","https://github.com/DISIC/guide-mobile_app_dev_natif","Ce guide s'adresse aux développeurs d'applications mobiles qui souhaitent connaître les techniques à utiliser pour créer des applications accessibles avec les API fournies par les systèmes Android et iOS. Also available in English: https://github.com/DISIC/guide-mobile_app_dev_natif/tree/english/README.md",false,"2016-02-17T15:21:54Z","2018-09-13T14:11:18Z","",9,4,"Other",0,
"guide-mobile_app_dev_hybride","https://github.com/DISIC","https://github.com/DISIC/guide-mobile_app_dev_hybride","Ce guide s'adresse aux développeurs d'applications mobiles qui souhaitent connaître les techniques à utiliser pour créer des applications accessibles avec les frameworks Ionic et OnsenUI. English version: https://github.com/DISIC/guide-mobile_app_dev_hybride/tree/english",false,"2016-02-17T15:22:10Z","2018-09-13T14:11:01Z","",6,1,"Other",1,"JavaScript"
"guide-mobile_app_audit","https://github.com/DISIC","https://github.com/DISIC/guide-mobile_app_audit","Ce guide présente les étapes à effectuer pour auditer l'accessibilité d'une application mobile. Il s'adresse aux développeurs ainsi qu'aux testeurs ou auditeurs. There is also an English version available of this Mobile app audit guide: https://github.com/DISIC/guide-mobile_app_audit/tree/english",false,"2016-02-17T15:22:44Z","2018-01-30T18:50:24Z","",5,0,"Other",0,
"guide-mobile_app_conception","https://github.com/DISIC","https://github.com/DISIC/guide-mobile_app_conception","Ce guide présente les étapes à effectuer pour créer une application mobile accessible. Also available in English: https://github.com/DISIC/guide-mobile_app_conception/tree/english",false,"2016-02-17T15:23:16Z","2018-09-13T14:10:57Z","",11,2,"Other",0,
"rgaa_referentiel_en","https://github.com/DISIC","https://github.com/DISIC/rgaa_referentiel_en","English version of the RGAA 3",false,"2016-03-25T15:03:27Z","2017-08-28T19:56:22Z","",9,5,"Other",1,"HTML"
"rgaa_bibliotheques-javascript","https://github.com/DISIC","https://github.com/DISIC/rgaa_bibliotheques-javascript","Une étude de l'accessibilité des principales bibliothèques JavaScript a donné lieu à un état des lieux du niveau d'accessibilité des différents composants actuels",false,"2016-05-12T13:15:55Z","2018-09-13T14:11:28Z",,12,3,"Other",2,"HTML"
"rgaa_jquery-ui","https://github.com/DISIC","https://github.com/DISIC/rgaa_jquery-ui","Corrections d'accessibilité sur les composants jQueryUI.",false,"2016-05-12T13:28:05Z","2017-08-02T14:36:16Z",,2,1,"Other",0,"HTML"
"rgaa_react-bootstrap","https://github.com/DISIC","https://github.com/DISIC/rgaa_react-bootstrap","Corrections d'accessibilité sur les composants React Bootstrap.",false,"2016-05-12T13:36:28Z","2017-08-02T14:36:10Z",,3,0,"Other",0,"JavaScript"
"rgaa_angular-bootstrap","https://github.com/DISIC","https://github.com/DISIC/rgaa_angular-bootstrap","Corrections d'accessibilité sur les composants Angular Bootstrap.",false,"2016-05-12T13:43:55Z","2017-08-02T14:36:21Z",,3,0,"Other",0,"HTML"
"referentiel-cms","https://github.com/DISIC","https://github.com/DISIC/referentiel-cms","Référentiel de critères d'évaluation de l'accessibilité des CMS.",false,"2016-05-18T11:58:25Z","2017-08-28T19:58:08Z",,8,2,"Other",0,
"rgaa_referentiel","https://github.com/DISIC","https://github.com/DISIC/rgaa_referentiel","Référentiel Général d'Accessibilité pour les Administrations",false,"2016-06-28T09:45:25Z","2018-06-08T09:11:49Z","https://disic.github.io/rgaa_referentiel/index.html",16,8,"Other",13,"HTML"
"guides-documents_bureautiques_accessibles","https://github.com/DISIC","https://github.com/DISIC/guides-documents_bureautiques_accessibles","Ensemble de guides pour rédiger des documents bureautiques accessibles. English version also available (https://github.com/DISIC/guides-documents_bureautiques_accessibles/tree/english)",false,"2016-07-04T14:34:08Z","2017-08-30T19:47:13Z","",6,4,"Other",0,"HTML"
"guide-integrateur","https://github.com/DISIC","https://github.com/DISIC/guide-integrateur","Un guide destiné aux intégrateurs chargés de réaliser des gabarits HTML et CSS accessibles.",false,"2016-07-06T11:57:43Z","2018-10-28T11:01:22Z","https://disic.github.io/guide-integrateur/",122,6,"Other",4,"HTML"
"foss-contrib-policy-template","https://github.com/DISIC","https://github.com/DISIC/foss-contrib-policy-template",,false,"2016-10-24T08:16:06Z","2018-09-12T16:21:12Z",,33,12,"Other",4,
"panorama","https://github.com/DISIC","https://github.com/DISIC/panorama","Panorama des grands projets SI de l'Etat",false,"2016-11-10T15:42:13Z","2018-09-24T09:44:18Z","https://disic.github.io/panorama",2,1,"MIT License",0,"HTML"
"guide-lecteurs_ecran","https://github.com/DISIC","https://github.com/DISIC/guide-lecteurs_ecran","Guide d'utilisation des lecteurs d'écran : la vérification de l'accessibilité des interfaces riches requiert des tests de restitution avec différents lecteurs d'écran.",false,"2016-12-12T13:40:06Z","2018-08-02T07:26:55Z","https://disic.github.io/guide-lecteurs_ecran/",7,0,,2,"HTML"
"sirh-paye-mqd-poc","https://github.com/DISIC","https://github.com/DISIC/sirh-paye-mqd-poc",,false,"2017-05-02T16:18:12Z","2017-06-21T16:20:37Z",,2,1,,0,"Java"
"rgaa_ePub","https://github.com/DISIC","https://github.com/DISIC/rgaa_ePub","Ressources pour créer des documents accessibles au format EPUB",false,"2017-05-17T07:30:47Z","2017-08-02T14:38:31Z",,2,0,,0,
"guide-impacts_utilisateurs","https://github.com/DISIC","https://github.com/DISIC/guide-impacts_utilisateurs","Défauts d’accessibilité : Impacts sur les utilisateurs",false,"2017-05-17T08:44:56Z","2018-03-31T21:48:16Z","https://disic.github.io/guide-impacts_utilisateurs/",5,2,,6,"HTML"
"guide-troubles_DYS","https://github.com/DISIC","https://github.com/DISIC/guide-troubles_DYS","Guide des troubles DYS",false,"2017-05-17T08:54:24Z","2018-04-20T14:00:48Z",,8,0,,0,
"guide-RGAA_CMS","https://github.com/DISIC","https://github.com/DISIC/guide-RGAA_CMS"," Guide méthodologique RGAA-CMS",false,"2017-05-17T09:12:29Z","2017-08-02T14:37:57Z",,4,0,,0,
"rgaa-test-suite","https://github.com/DISIC","https://github.com/DISIC/rgaa-test-suite","Suite de tests pour tester la conformité de composants JavaScript avec les design patterns ARIA",false,"2017-05-24T14:23:38Z","2018-09-13T14:11:31Z",,10,0,"Other",0,"JavaScript"
"rgaa_bootstrap-paypal","https://github.com/DISIC","https://github.com/DISIC/rgaa_bootstrap-paypal","Corrections d'accessibilité sur les composants Paypal Bootstrap Accessibility Plugin",false,"2017-05-24T15:21:22Z","2017-08-02T14:37:46Z",,2,0,"Other",0,"HTML"
"rgaa_reactjs","https://github.com/DISIC","https://github.com/DISIC/rgaa_reactjs","Corrections d'accessibilité sur les composants de l'organisation ReactJS",false,"2017-06-12T10:19:56Z","2018-01-02T16:31:59Z",,3,1,"Other",0,"JavaScript"
"assistant-rgaa","https://github.com/DISIC","https://github.com/DISIC/assistant-rgaa","Extension de navigateur permettant d'auditer des pages web en suivant le référentiel RGAA.",false,"2017-06-26T12:28:24Z","2018-10-21T16:27:54Z",,23,4,,1,"JavaScript"
"guide-auditeur","https://github.com/DISIC","https://github.com/DISIC/guide-auditeur","Guide de l'auditeur RGAA 3",false,"2017-07-05T15:05:25Z","2017-10-01T02:38:21Z","https://disic.github.io/guide-auditeur/",3,3,,0,"HTML"
"rgaa_referentiel_3-2016","https://github.com/DISIC","https://github.com/DISIC/rgaa_referentiel_3-2016","Ancien dépôt du RGAA 3 2016",false,"2017-07-31T08:00:55Z","2017-07-31T08:00:55Z",,0,0,,0,
"guide-concepteur","https://github.com/DISIC","https://github.com/DISIC/guide-concepteur","Guide du concepteur RGAA 3",false,"2017-08-02T13:54:05Z","2017-10-01T02:38:47Z","https://disic.github.io/guide-concepteur",4,1,"Other",0,"HTML"
"guide-handicap-mental-psychique","https://github.com/DISIC","https://github.com/DISIC/guide-handicap-mental-psychique","Guide sur le handicap mental",false,"2017-08-03T10:21:05Z","2017-09-13T22:30:10Z",,2,0,"Other",1,
"referentiel_redaction-langage-simplifie","https://github.com/DISIC","https://github.com/DISIC/referentiel_redaction-langage-simplifie","Référentiel pour une rédaction de contenus alternatifs en langage simplifié",false,"2017-08-03T10:23:38Z","2017-08-28T20:24:08Z","https://disic.github.io/referentiel_redaction-langage-simplifie/",1,0,,0,"HTML"
"guide-developpeur","https://github.com/DISIC","https://github.com/DISIC/guide-developpeur","Guide du développeur RGAA 3",false,"2017-08-07T11:17:20Z","2018-12-03T09:34:16Z","https://disic.github.io/guide-developpeur/",8,2,"Other",1,"HTML"
"guide-derogations","https://github.com/DISIC","https://github.com/DISIC/guide-derogations","Guide des dérogations RGAA 3 2016",false,"2017-08-07T12:07:21Z","2017-09-13T22:30:24Z",,2,1,"Other",0,
"rgaa-apps","https://github.com/DISIC","https://github.com/DISIC/rgaa-apps","Référentiel RGAA-APPS destiné à toute personne désirant évaluer l'accessibilité des interfaces graphiques logicielles de bureau ou mobile.",false,"2017-08-16T09:11:47Z","2017-08-16T09:33:28Z","https://disic.github.io/rgaa-apps/",0,1,,0,"HTML"
"guide-decideur","https://github.com/DISIC","https://github.com/DISIC/guide-decideur","Accessibilité numérique et RGAA 3 : guide à destination des décideurs",false,"2017-08-31T10:50:53Z","2017-08-31T11:24:37Z","https://disic.github.io/guide-decideur/",0,1,,0,"HTML"
"inventaire","https://github.com/DISIC","https://github.com/DISIC/inventaire","pour cataloguer les démarches et les sites web",false,"2017-09-05T13:56:58Z","2017-09-05T13:56:58Z",,0,0,,0,
"guide-chef_projets","https://github.com/DISIC","https://github.com/DISIC/guide-chef_projets","Guide du chef de projets RGAA 3",false,"2017-10-18T07:30:41Z","2017-10-25T16:03:54Z","https://disic.github.io/guide-chef_projets/",0,0,,0,"HTML"
"politique-de-contribution-open-source","https://github.com/DISIC","https://github.com/DISIC/politique-de-contribution-open-source","Politique de contribution open-source interministérielle",false,"2017-10-27T15:00:57Z","2018-12-14T17:18:53Z","https://www.numerique.gouv.fr/publications/politique-logiciel-libre/",51,47,"Other",29,
"circuits","https://github.com/DISIC","https://github.com/DISIC/circuits","Explicitation des processus internes",false,"2018-03-12T15:32:25Z","2018-03-12T15:32:25Z",,0,0,,0,
