Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"weckan","https://github.com/etalab","https://github.com/etalab/weckan","Web application using CKAN model",false,"2013-08-26T16:21:49Z","2018-04-13T11:14:53Z",,5,1,"GNU Affero General Public License v3.0",2,"Python"
"ckanext-etalab","https://github.com/etalab","https://github.com/etalab/ckanext-etalab","CKAN extension for data.gouv.fr site",false,"2013-08-26T17:02:07Z","2018-04-13T11:17:38Z",,0,1,"GNU Affero General Public License v3.0",0,"Python"
"biryani","https://github.com/etalab","https://github.com/etalab/biryani","A data conversion and validation toolbox",false,"2013-08-26T17:07:29Z","2018-12-11T11:19:14Z","http://biryani.readthedocs.org/en/latest/",4,20,,1,"Python"
"etalab-to-ckan","https://github.com/etalab","https://github.com/etalab/etalab-to-ckan","Tools to help migration of data.gouv.fr to CKAN",false,"2013-08-27T10:38:19Z","2018-04-13T11:19:58Z",,0,0,"GNU Affero General Public License v3.0",0,"Python"
"ckan-toolbox","https://github.com/etalab","https://github.com/etalab/ckan-toolbox","Various modules that handle CKAN API and data",false,"2013-08-30T11:14:32Z","2018-04-13T11:16:42Z",,0,0,"GNU Affero General Public License v3.0",0,"Python"
"etalab-ckan-harvesters","https://github.com/etalab","https://github.com/etalab/etalab-ckan-harvesters","Harvesters for Etalab CKAN",false,"2013-08-30T14:11:55Z","2018-04-13T11:15:48Z",,5,1,"GNU Affero General Public License v3.0",0,"Python"
"mediawiki-etalab-skin","https://github.com/etalab","https://github.com/etalab/mediawiki-etalab-skin","MediaWiki skin for ETALAB",false,"2013-09-05T15:38:02Z","2018-04-13T11:14:13Z","",0,1,"GNU Affero General Public License v3.0",0,"CSS"
"askbot-etalab-skin","https://github.com/etalab","https://github.com/etalab/askbot-etalab-skin","Askbot skin for ETALAB",false,"2013-09-05T15:46:38Z","2018-04-13T11:20:31Z",,0,1,"GNU Affero General Public License v3.0",0,"JavaScript"
"etalab-assets","https://github.com/etalab","https://github.com/etalab/etalab-assets","ETALAB common assets",false,"2013-09-11T07:57:19Z","2018-04-13T11:17:04Z",,2,0,"GNU Affero General Public License v3.0",4,"CSS"
"etalab-ckan-scripts","https://github.com/etalab","https://github.com/etalab/etalab-ckan-scripts","Various scripts that handle Etalab datasets in CKAN repository",false,"2013-09-11T18:53:15Z","2018-04-13T11:14:33Z",,0,2,"GNU Affero General Public License v3.0",0,"Python"
"ckan-of-worms","https://github.com/etalab","https://github.com/etalab/ckan-of-worms","A logger for errors found in CKAN datasets",false,"2013-09-26T21:49:48Z","2018-04-13T11:17:55Z",,0,0,"GNU Affero General Public License v3.0",0,"Python"
"ckanext-fedmsg","https://github.com/etalab","https://github.com/etalab/ckanext-fedmsg","CKAN extension for sending activity events to the Fedora Infrastructure Message Bus (fedmsg)",false,"2013-09-29T08:10:45Z","2018-04-13T11:20:51Z",,4,0,"GNU Affero General Public License v3.0",1,"Python"
"cowbots","https://github.com/etalab","https://github.com/etalab/cowbots","Error detection bots for Ckan-of-Worms",false,"2013-10-02T06:45:05Z","2018-04-13T11:15:06Z",,0,0,"GNU Affero General Public License v3.0",0,"Python"
"youckan","https://github.com/etalab","https://github.com/etalab/youckan","Django-based SSO",false,"2013-10-16T15:03:00Z","2018-04-13T11:13:57Z","",9,4,,1,"Python"
"etalab-assets-demo-images","https://github.com/etalab","https://github.com/etalab/etalab-assets-demo-images","Etalab assets demo only images",false,"2013-10-24T16:24:18Z","2018-04-13T11:20:14Z",,0,0,,0,
"Data-Fundamentals","https://github.com/etalab","https://github.com/etalab/Data-Fundamentals",,true,"2013-10-28T19:13:56Z","2018-11-26T21:47:24Z",,0,0,,0,
"ckanext-oauth2","https://github.com/etalab","https://github.com/etalab/ckanext-oauth2","OAuth2 support for CKAN",false,"2013-11-04T11:11:12Z","2018-04-13T11:15:25Z",,2,1,,1,"Python"
"ckanext-youckan","https://github.com/etalab","https://github.com/etalab/ckanext-youckan","YouCKAN connector for CKAN",false,"2013-11-04T11:13:32Z","2018-04-13T11:16:23Z",,0,1,,1,"Python"
"dactylo","https://github.com/etalab","https://github.com/etalab/dactylo","A datasets activity streams logger",false,"2013-11-05T08:20:26Z","2018-04-13T11:18:12Z",,0,1,"GNU Affero General Public License v3.0",0,"Python"
"etalab-support","https://github.com/etalab","https://github.com/etalab/etalab-support","Etalab product support",false,"2013-11-22T13:20:01Z","2018-09-03T09:36:14Z",,7,4,,0,
"landing-page","https://github.com/etalab","https://github.com/etalab/landing-page","data.gouv.fr landing page",false,"2013-12-16T15:07:59Z","2018-04-13T11:17:22Z",,0,0,"Other",0,"JavaScript"
"cada","https://github.com/etalab","https://github.com/etalab/cada","A simplistic interface to search and consult CADA advices",false,"2014-04-14T13:41:10Z","2018-11-27T09:28:08Z","http://cada.data.gouv.fr",16,6,"GNU Affero General Public License v3.0",2,"CSS"
"ckanext-sentry","https://github.com/etalab","https://github.com/etalab/ckanext-sentry","Sentry support for CKAN",false,"2014-04-22T13:49:57Z","2018-04-13T11:16:09Z",,1,4,,1,"Python"
"udata-gouvfr","https://github.com/etalab","https://github.com/etalab/udata-gouvfr","Skin and customization for the French opendata portal based on uData.",false,"2014-04-25T09:58:14Z","2018-12-05T17:34:20Z","https://www.data.gouv.fr/fr/",17,31,,16,"HTML"
"ban-geocode","https://github.com/etalab","https://github.com/etalab/ban-geocode","BAN in Elasticsearch",false,"2014-09-15T16:14:23Z","2018-09-18T13:48:26Z","",5,2,,6,"Python"
"cle-interoperabilite-adresse","https://github.com/etalab","https://github.com/etalab/cle-interoperabilite-adresse","Spécification de la clé d'intéropérabilité de l'adresse",false,"2014-10-27T10:47:38Z","2018-01-22T18:45:21Z",,3,0,,0,
"codes-postaux","https://github.com/etalab","https://github.com/etalab/codes-postaux","Générer et manipuler facilement le fichier des codes postaux",false,"2014-11-14T13:59:52Z","2018-12-08T11:41:53Z","",30,3,"MIT License",2,"JavaScript"
"adresse.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/adresse.data.gouv.fr","Données Adresse ouvertes",false,"2014-12-01T18:30:52Z","2018-12-19T10:47:52Z","https://adresse.data.gouv.fr",65,8,,19,"JavaScript"
"deleted-datasets-schema","https://github.com/etalab","https://github.com/etalab/deleted-datasets-schema","A schema specifying how to represent a dataset deleted from a hosting platform.",false,"2015-01-30T17:52:29Z","2018-01-22T18:45:38Z",,0,0,,1,
"ban-data","https://github.com/etalab","https://github.com/etalab/ban-data","Projet de suivi des données BAN et des scripts de traitements associés",false,"2015-03-19T09:33:15Z","2018-12-01T08:06:52Z",,17,4,,68,"Shell"
"geozones","https://github.com/etalab","https://github.com/etalab/geozones","Simple spatial/administrative referential",false,"2015-04-15T12:06:35Z","2018-09-17T15:50:23Z",,31,8,,10,"Python"
"GitLegistique.jl","https://github.com/etalab","https://github.com/etalab/GitLegistique.jl","Convert Git diffs of french law to legislative drafting",false,"2015-05-28T07:50:26Z","2018-11-27T09:33:41Z",,6,0,"Other",0,"Julia"
"codes-juridiques-francais","https://github.com/etalab","https://github.com/etalab/codes-juridiques-francais","Les codes juridiques français, issus de la base LEGI de la DILA, au format Git et Markdown",false,"2015-07-05T18:45:25Z","2018-11-27T09:55:51Z",,11,2,,2,
"lois-non-codifiees-et-reglements-francais","https://github.com/etalab","https://github.com/etalab/lois-non-codifiees-et-reglements-francais","Les lois non condifiées ainsi que les règlements français, issus de la base LEGI de la DILA, au format Git et Markdown",false,"2015-07-05T18:46:34Z","2018-11-27T09:52:02Z",,8,0,,0,
