Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"udata","https://github.com/opendatateam","https://github.com/opendatateam/udata","Customizable and skinnable social platform dedicated to (open)data.",false,"2014-04-25T09:57:34Z","2018-10-26T10:04:36Z","http://udata.readthedocs.org",115,61,"GNU Affero General Public License v3.0",88,"Python"
"udata-youckan","https://github.com/opendatateam","https://github.com/opendatateam/udata-youckan","YouCKAN Auth support for uData",false,"2014-05-21T19:03:13Z","2018-04-22T01:50:04Z",,1,3,"GNU Affero General Public License v3.0",0,"Python"
"udata-piwik","https://github.com/opendatateam","https://github.com/opendatateam/udata-piwik","Piwik support for uData",false,"2014-09-24T05:52:59Z","2018-10-24T17:16:33Z",,3,4,,5,"Python"
"croquemort","https://github.com/opendatateam","https://github.com/opendatateam/croquemort","A micro service to check dead links efficiently and asynchronously. In use at https://www.data.gouv.fr/",false,"2015-05-26T07:06:48Z","2018-10-26T11:04:45Z","https://check.data.gouv.fr/",22,4,"MIT License",16,"Python"
"udata-id","https://github.com/opendatateam","https://github.com/opendatateam/udata-id","Binding for id.data.gouv.fr and udata project",false,"2016-08-24T16:16:22Z","2016-11-28T16:28:54Z",,1,0,"GNU Affero General Public License v3.0",1,"Python"
"docker-udata","https://github.com/opendatateam","https://github.com/opendatateam/docker-udata","uData and plugins all-in-one Docker image",false,"2016-12-07T18:43:53Z","2018-10-12T14:57:09Z",,8,5,"MIT License",4,"Dockerfile"
"docker-elasticsearch","https://github.com/opendatateam","https://github.com/opendatateam/docker-elasticsearch","Official Elastcisearch image with preinstalled analysis-icu plugin",false,"2016-12-09T12:52:02Z","2016-12-09T12:52:02Z",,0,0,,1,
"udata-admin","https://github.com/opendatateam","https://github.com/opendatateam/udata-admin","Administration interface for Udata",false,"2017-03-08T16:38:30Z","2017-05-29T21:04:44Z",,2,1,,0,"Vue"
"udata-cli","https://github.com/opendatateam","https://github.com/opendatateam/udata-cli","A uData API console client for common administrative tasks",false,"2017-03-21T13:55:53Z","2017-04-10T13:33:42Z",,0,0,"MIT License",0,"Python"
"cookiecutter-udata-theme","https://github.com/opendatateam","https://github.com/opendatateam/cookiecutter-udata-theme","A cookiecutter template for a uData theme",false,"2017-03-26T17:58:42Z","2018-03-22T14:54:19Z",,0,1,"MIT License",0,"Python"
"udata-dockers","https://github.com/opendatateam","https://github.com/opendatateam/udata-dockers","Common udata docker images (base system dependencies, build environment)",false,"2017-05-05T18:18:40Z","2018-08-30T15:49:02Z",,2,1,"MIT License",0,"Shell"
"cookiecutter-udata-harvester","https://github.com/opendatateam","https://github.com/opendatateam/cookiecutter-udata-harvester","A cookiecutter template for a single uData harvester",false,"2017-06-01T06:38:48Z","2017-06-26T15:33:01Z",,0,2,"MIT License",0,"Python"
"udata-explorer","https://github.com/opendatateam","https://github.com/opendatateam/udata-explorer","Query udata datasets and explore them, in Jupyter Notebook for example.",false,"2017-06-22T10:02:45Z","2018-03-23T08:47:40Z",,2,1,"Apache License 2.0",0,"Jupyter Notebook"
"udata-croquemort","https://github.com/opendatateam","https://github.com/opendatateam/udata-croquemort","Integration between uData and croquemort",false,"2017-08-01T16:03:08Z","2018-10-23T07:23:10Z","",0,2,"MIT License",7,"Python"
"docker-mongo-test","https://github.com/opendatateam","https://github.com/opendatateam/docker-mongo-test","A  MongoDB version tuned for fast testing",false,"2017-09-10T19:47:20Z","2017-09-10T19:56:08Z",,0,0,,0,"Shell"
"udata-ods","https://github.com/opendatateam","https://github.com/opendatateam/udata-ods","OpenDataSoft integration for udata",false,"2017-10-06T08:58:47Z","2018-10-03T09:40:59Z",,2,2,"GNU Affero General Public License v3.0",5,"Python"
"udata-ckan","https://github.com/opendatateam","https://github.com/opendatateam/udata-ckan","CKAN integration for udata",false,"2017-10-11T15:44:08Z","2018-10-03T08:44:50Z",,1,2,,6,"Python"
"ansible-udata","https://github.com/opendatateam","https://github.com/opendatateam/ansible-udata","Ansible role for udata",false,"2017-12-04T11:25:46Z","2017-12-04T12:16:42Z",,1,0,"MIT License",0,
"udata-piwik-docker","https://github.com/opendatateam","https://github.com/opendatateam/udata-piwik-docker","A docker image for testing purposes on the udata-piwik project.",false,"2017-12-13T14:20:32Z","2017-12-13T14:28:55Z","",0,0,,0,"PHP"
"udata-search-indicator","https://github.com/opendatateam","https://github.com/opendatateam/udata-search-indicator","Tests search queries on udata and build reports as a static site",false,"2018-02-20T14:49:47Z","2018-02-20T14:49:47Z",,0,0,"MIT License",0,
"udata-recommendations","https://github.com/opendatateam","https://github.com/opendatateam/udata-recommendations","uData content recommendations bridge",false,"2018-04-11T14:38:25Z","2018-10-24T17:15:47Z",,1,2,"MIT License",4,"Python"
"csvapi","https://github.com/opendatateam","https://github.com/opendatateam/csvapi","An instant JSON API for your CSV",false,"2018-04-13T10:15:51Z","2018-10-22T12:13:33Z",,3,1,"MIT License",1,"Python"
"csvapi-front","https://github.com/opendatateam","https://github.com/opendatateam/csvapi-front","A simple frontend for https://github.com/abulte/csvapi",false,"2018-04-26T16:14:13Z","2018-09-20T09:04:15Z",,0,0,"MIT License",0,"Vue"
"cookiecutter-udata-plugin","https://github.com/opendatateam","https://github.com/opendatateam/cookiecutter-udata-plugin","A cookiecutter template for a uData package (containing one or more plugin)",false,"2018-05-07T16:01:36Z","2018-10-04T17:02:11Z",,0,0,"MIT License",0,"Python"
"docker-ckan-test","https://github.com/opendatateam","https://github.com/opendatateam/docker-ckan-test","A custom CKAN testing image (not meant to be used in production)",false,"2018-05-17T12:59:09Z","2018-05-22T21:17:48Z",,0,0,"MIT License",0,"Python"
"udata-tabular-preview","https://github.com/opendatateam","https://github.com/opendatateam/udata-tabular-preview","A plugin to preview tabular files (CSV, Excel, ...)",false,"2018-05-31T17:29:58Z","2018-10-02T14:50:14Z",,0,1,,0,"Python"
"udata-kerberos","https://github.com/opendatateam","https://github.com/opendatateam/udata-kerberos",,false,"2018-05-31T17:30:22Z","2018-05-31T17:30:22Z",,0,0,,0,
"docker-kerberos-test","https://github.com/opendatateam","https://github.com/opendatateam/docker-kerberos-test","A Kerberos/KDC server for testing purpose only",false,"2018-06-15T11:23:26Z","2018-06-15T11:29:58Z","",0,0,"MIT License",0,
"identity","https://github.com/opendatateam","https://github.com/opendatateam/identity","Opendata team and udata visual and identity elements",false,"2018-06-19T07:29:16Z","2018-06-21T17:33:07Z",,0,2,,0,
"getudata.org","https://github.com/opendatateam","https://github.com/opendatateam/getudata.org","udata official website",false,"2018-08-02T14:13:21Z","2018-10-13T14:43:33Z","https://getudata.org",0,3,"MIT License",1,"Python"
"dataexplorer","https://github.com/opendatateam","https://github.com/opendatateam/dataexplorer","Alternative udata-tabular-preview UI",true,"2018-08-28T13:25:53Z","2018-09-10T12:07:15Z","",0,1,,0,"JavaScript"
"datapackage-pipelines-udata","https://github.com/opendatateam","https://github.com/opendatateam/datapackage-pipelines-udata"," Udata Data Package extensions to Datapackage Pipelines",false,"2018-08-29T16:00:02Z","2018-09-12T11:03:17Z",,4,0,"MIT License",0,"Python"
"udata-ldap","https://github.com/opendatateam","https://github.com/opendatateam/udata-ldap","LDAP authentification for udata",false,"2018-09-05T13:18:36Z","2018-10-16T06:13:04Z",,0,1,"MIT License",1,"Python"
"udata-link-proxy","https://github.com/opendatateam","https://github.com/opendatateam/udata-link-proxy","udata gateway to link-proxy (https://github.com/geodatagouv/link-proxy)",false,"2018-09-13T14:39:30Z","2018-09-18T09:22:16Z",,1,0,,0,"Python"
"datopolis","https://github.com/opendatateam","https://github.com/opendatateam/datopolis","(French) translation effort for the Datopolis board game",true,"2018-10-06T11:58:43Z","2018-10-11T14:17:35Z","",2,1,"Other",0,"Ruby"
"csvapi-parser","https://github.com/opendatateam","https://github.com/opendatateam/csvapi-parser","CSV parser (for csvapi)",false,"2018-10-09T13:52:48Z","2018-10-10T09:30:23Z",,0,0,,0,"Python"
